video_id,stage,total_active_cells,grid_size,grid_num,y,y_hat
control_sog_d_2,nc_14_d,66.0,250,4_4,"[[ 0.    0.    0.    0.  ]
 [ 1.25  0.    0.    0.25]
 [25.5   5.75 14.75  9.25]
 [ 2.5   4.5   2.25  0.  ]]","[[ 3.53833333  5.24        3.475       5.7875    ]
 [ 5.363      13.06233333  9.12        1.16666667]
 [18.51083333 13.50416667 11.4075     14.84966667]
 [ 5.03516667  7.17916667  2.33033333  1.47566667]]"
control_sog_d_2,stage_6,5.4,250,4_4,"[[0.  0.  0.  0. ]
 [0.  0.  0.  0. ]
 [2.8 1.  0.8 0.8]
 [0.  0.  0.  0. ]]","[[ 0.265       4.7035      2.85333333  2.40166667]
 [ 1.90633333 18.20083333  2.74983333  0.94383333]
 [21.58916667  8.26283333 12.905      16.03016667]
 [ 1.09233333  4.99233333  1.00183333  1.191     ]]"
control_sog_d_3,nc_13_late,144.0,250,4_4,"[[ 0.33333333  1.66666667  2.33333333  1.33333333]
 [11.66666667 11.66666667 10.66666667  9.        ]
 [18.66666667 20.         20.66666667 12.66666667]
 [ 6.33333333  7.33333333  7.33333333  2.33333333]]","[[ 1.25366667  3.42683333  4.46033333  4.1335    ]
 [15.34       14.0475     11.72416667 21.87833333]
 [22.12       21.77833333 20.964      19.18083333]
 [ 9.045       6.40333333  5.93666667  1.70166667]]"
control_sog_d_3,nc_14_a,76.0,250,4_4,"[[ 0.          0.          0.          0.        ]
 [ 5.33333333  4.33333333  7.          3.66666667]
 [ 7.66666667 10.66666667 16.66666667 17.        ]
 [ 1.33333333  0.33333333  1.          1.        ]]","[[ 1.03666667  2.75        3.58933333  2.70666667]
 [25.76266667 21.43416667 22.11666667 15.08333333]
 [37.2875     31.19666667 27.25666667 23.51333333]
 [16.90166667 13.805      11.83666667  5.52666667]]"
control_sog_d_3,nc_14_b,68.66666666666667,250,4_4,"[[ 0.          0.          0.          0.        ]
 [ 0.33333333  1.33333333  1.66666667  0.        ]
 [ 7.33333333 11.33333333 19.         18.33333333]
 [ 2.66666667  1.          3.33333333  2.33333333]]","[[ 0.29333333  0.57        1.33833333  1.58333333]
 [ 9.63916667 12.857       8.1275     11.176     ]
 [27.68333333 25.09233333 25.71033333 35.44766667]
 [30.09533333 26.67333333 26.65       10.60933333]]"
control_sog_d_3,nc_14_c,59.25,250,4_4,"[[ 0.    0.25  0.25  0.  ]
 [ 0.    3.    2.    0.25]
 [ 4.5  10.   17.    8.  ]
 [ 5.    3.25  3.75  2.  ]]","[[ 0.          0.          0.17333333  0.30166667]
 [ 6.91116667  8.09333333  6.636       3.7675    ]
 [29.14783333 23.95666667 26.37166667 17.93333333]
 [21.01683333 17.89833333 14.21616667  4.13783333]]"
control_sog_d_3,nc_14_d,88.75,250,4_4,"[[ 0.    0.25  0.    0.25]
 [ 2.5   6.    6.5   0.25]
 [ 5.   13.75 16.25  8.5 ]
 [ 7.75  9.75  9.5   2.5 ]]","[[1.00000000e-01 3.50000000e-02 3.00000000e-02 9.00000000e-03]
 [1.79633333e+00 2.28366667e+00 4.01433333e+00 2.90850000e+00]
 [3.25295000e+01 2.08005000e+01 2.54971667e+01 1.91255000e+01]
 [1.64823333e+01 2.43301667e+01 1.52131667e+01 3.31116667e+00]]"
control_sog_d_3,stage_6,78.5,250,4_4,"[[ 0.   0.   0.   0. ]
 [ 2.   8.5  4.   0.5]
 [ 4.  11.  17.5  6.5]
 [ 5.   9.   8.5  2. ]]","[[0.00000000e+00 8.65000000e-02 1.50000000e-02 3.90000000e-02]
 [9.52750000e+00 4.37500000e+00 4.16816667e+00 1.01850000e+00]
 [9.48450000e+00 1.93851667e+01 1.81715000e+01 5.50833333e+00]
 [1.19040000e+01 1.15895000e+01 1.14836667e+01 5.20383333e+00]]"
control_sog_d_4,nc_13_late,150.66666666666663,250,4_4,"[[ 1.66666667  2.66666667  3.66666667  1.33333333]
 [11.         12.66666667 14.         11.33333333]
 [14.         17.33333333 20.33333333 18.33333333]
 [ 3.          5.66666667  8.33333333  5.33333333]]","[[ 1.185       1.42833333  1.38166667  1.845     ]
 [10.91        8.73833333  7.26083333  9.08      ]
 [25.37666667 20.665      21.51516667 16.32333333]
 [ 6.6         7.255       6.815       6.615     ]]"
control_sog_d_4,nc_14_a,329.3333333333333,250,4_4,"[[ 6.         12.33333333 13.          6.66666667]
 [36.         37.         32.33333333 31.        ]
 [40.         32.33333333 29.         26.        ]
 [ 6.33333333  7.66666667  9.33333333  4.33333333]]","[[ 1.85083333  1.61833333  2.045       1.38      ]
 [ 6.915      12.46333333 12.22833333  6.15116667]
 [19.95       19.29166667 24.715      19.7625    ]
 [11.07333333 13.47       10.88        4.74166667]]"
