video_id,stage,total_active_cells,grid_size,grid_num,y,y_hat
control_sog_d_3,nc_14_a,76.0,250,4_4,"[[ 0.          0.          0.          0.        ]
 [ 5.33333333  4.33333333  7.          3.66666667]
 [ 7.66666667 10.66666667 16.66666667 17.        ]
 [ 1.33333333  0.33333333  1.          1.        ]]","[[ 1.98666667  3.345       4.845       3.255     ]
 [35.17333333 33.72666667 25.79       17.94666667]
 [37.47333333 31.03       26.31833333 19.77916667]
 [17.10666667 13.75       10.77        4.66333333]]"
control_sog_d_3,nc_14_b,68.66666666666667,250,4_4,"[[ 0.          0.          0.          0.        ]
 [ 0.33333333  1.33333333  1.66666667  0.        ]
 [ 7.33333333 11.33333333 19.         18.33333333]
 [ 2.66666667  1.          3.33333333  2.33333333]]","[[ 0.78333333  0.91083333  1.4525      1.54333333]
 [ 9.73566667 11.82866667 10.31366667 10.36666667]
 [22.29183333 23.7915     28.3315     33.62433333]
 [23.01366667 23.77833333 24.07416667  6.5195    ]]"
control_sog_d_3,nc_14_c,59.25,250,4_4,"[[ 0.    0.25  0.25  0.  ]
 [ 0.    3.    2.    0.25]
 [ 4.5  10.   17.    8.  ]
 [ 5.    3.25  3.75  2.  ]]","[[ 0.68083333  0.79316667  1.17333333  1.2465    ]
 [12.75283333 11.35966667  9.26033333  6.41016667]
 [21.7505     17.52416667 16.4925     17.67483333]
 [14.11533333 13.2375     10.67083333  3.32      ]]"
control_sog_d_3,nc_14_d,88.75,250,4_4,"[[ 0.    0.25  0.    0.25]
 [ 2.5   6.    6.5   0.25]
 [ 5.   13.75 16.25  8.5 ]
 [ 7.75  9.75  9.5   2.5 ]]","[[ 0.54583333  0.6475      0.82        0.85566667]
 [11.261      11.10566667  9.10166667  5.36383333]
 [27.6645     18.69833333 18.821      15.7145    ]
 [16.32166667 21.38083333 11.612       3.224     ]]"
control_sog_d_3,stage_6,78.5,250,4_4,"[[ 0.   0.   0.   0. ]
 [ 2.   8.5  4.   0.5]
 [ 4.  11.  17.5  6.5]
 [ 5.   9.   8.5  2. ]]","[[ 0.61233333  0.36233333  0.82633333  0.894     ]
 [ 7.98466667 12.24816667  5.93233333  4.8795    ]
 [ 9.8065     17.17616667 13.7745      5.77183333]
 [12.42483333 11.89516667 10.9435      5.34916667]]"
control_sog_d_4,nc_13_late,150.66666666666663,250,4_4,"[[ 1.66666667  2.66666667  3.66666667  1.33333333]
 [11.         12.66666667 14.         11.33333333]
 [14.         17.33333333 20.33333333 18.33333333]
 [ 3.          5.66666667  8.33333333  5.33333333]]","[[ 1.02666667  1.065       1.17        1.28      ]
 [11.59666667  9.91333333  8.77        8.5725    ]
 [20.28583333 18.99666667 19.19833333 15.72      ]
 [ 4.10833333  5.66833333  6.605       6.33083333]]"
control_sog_d_4,nc_14_a,329.3333333333333,250,4_4,"[[ 6.         12.33333333 13.          6.66666667]
 [36.         37.         32.33333333 31.        ]
 [40.         32.33333333 29.         26.        ]
 [ 6.33333333  7.66666667  9.33333333  4.33333333]]","[[ 1.37333333  1.42666667  1.84333333  1.47833333]
 [20.787      30.82433333 27.86666667 18.258     ]
 [25.75283333 23.8565     25.61666667 20.09733333]
 [12.50833333 12.715      11.01666667  9.46      ]]"
control_sog_d_4,nc_14_b,408.66666666666663,250,4_4,"[[ 8.         10.66666667 11.66666667  6.        ]
 [42.33333333 46.33333333 41.         35.66666667]
 [42.         39.         38.         37.        ]
 [ 8.66666667 14.         15.         13.33333333]]","[[ 0.78        0.77283333  0.9975      1.24666667]
 [24.35333333 21.23583333 24.40666667 23.74333333]
 [37.16766667 36.51516667 35.775      27.08866667]
 [ 7.47783333 12.25083333 16.72916667 11.09666667]]"
control_sog_d_4,nc_14_c,377.5,250,4_4,"[[ 3.    9.    7.25  3.5 ]
 [37.   45.25 42.5  24.75]
 [39.25 38.75 41.   33.75]
 [ 9.   16.5  15.5  11.5 ]]","[[ 0.61166667  0.62083333  0.91583333  1.1575    ]
 [17.93166667 16.69416667 17.13916667 14.87916667]
 [29.68983333 30.63333333 29.72916667 26.8325    ]
 [ 3.48866667 11.73       11.96883333 11.1505    ]]"
control_sog_d_4,nc_14_d,311.0,250,4_4,"[[ 1.25  3.    4.25  0.25]
 [20.   42.   35.25  8.75]
 [37.   41.75 38.75 26.75]
 [10.25 17.5  15.25  9.  ]]","[[ 1.115       0.65666667  0.63416667  0.7025    ]
 [15.85833333 15.11183333 14.941      14.249     ]
 [30.37933333 25.426      27.98266667 24.1755    ]
 [ 3.3795      5.868       9.38883333  4.861     ]]"
